Year,CountyNum,CountyName,Sector,RNR, MMTherms 
1990,51,SUTTER,Mining,Non-Residential,0.9868
1990,51,SUTTER,Residential,Residential,11.8123
1990,51,SUTTER,TCU,Non-Residential,0.0624
1990,52,TEHAMA,Ag With Water Pump,Non-Residential,0.0053
1990,52,TEHAMA,Commercial,Non-Residential,2.2513
1990,52,TEHAMA,Industrial,Non-Residential,9.979
1990,52,TEHAMA,Mining,Non-Residential,0.5206
1990,52,TEHAMA,Residential,Residential,4.3155
1990,52,TEHAMA,TCU,Non-Residential,0.0393
1990,53,TRINITY,Ag With Water Pump,Non-Residential,0.0007
1990,53,TRINITY,Commercial,Non-Residential,0.0423
1990,53,TRINITY,Residential,Residential,0.0191
1990,53,TRINITY,TCU,Non-Residential,0.0001
1990,54,TULARE,Ag With Water Pump,Non-Residential,5.9562
1990,54,TULARE,Commercial,Non-Residential,16.2603
1990,54,TULARE,Industrial,Non-Residential,20.8777
1990,54,TULARE,Mining,Non-Residential,0.1361
1990,54,TULARE,Residential,Residential,51.1112
1990,54,TULARE,TCU,Non-Residential,0.1073
1990,56,VENTURA,Ag With Water Pump,Non-Residential,5.9066
1990,56,VENTURA,Commercial,Non-Residential,23.7667
1990,56,VENTURA,Industrial,Non-Residential,46.2669
1990,56,VENTURA,Mining,Non-Residential,8.1806
1990,56,VENTURA,Residential,Residential,117.4591
1990,56,VENTURA,TCU,Non-Residential,3.7257
1990,57,YOLO,Ag With Water Pump,Non-Residential,0.3659
1990,57,YOLO,Commercial,Non-Residential,19.0009
1990,57,YOLO,Industrial,Non-Residential,48.8449
1990,57,YOLO,Mining,Non-Residential,0.1737
1990,57,YOLO,Residential,Residential,24.6791
1990,57,YOLO,TCU,Non-Residential,0.2853
1990,58,YUBA,Ag With Water Pump,Non-Residential,0.0686
1990,58,YUBA,Commercial,Non-Residential,3.6101
1990,58,YUBA,Industrial,Non-Residential,0.7706
1990,58,YUBA,Mining,Non-Residential,0.0695
1990,58,YUBA,Residential,Residential,7.4398
1990,58,YUBA,TCU,Non-Residential,0.0857
1991,1,ALAMEDA,Ag With Water Pump,Non-Residential,3.1302
1991,1,ALAMEDA,Commercial,Non-Residential,93.8223
1991,1,ALAMEDA,Industrial,Non-Residential,126.6866
1991,1,ALAMEDA,Mining,Non-Residential,1.9864
1991,1,ALAMEDA,Residential,Residential,277.6236
1991,1,ALAMEDA,TCU,Non-Residential,4.7484
1991,3,AMADOR,Ag With Water Pump,Non-Residential,0.0084
1991,3,AMADOR,Commercial,Non-Residential,2.3174
1991,3,AMADOR,Industrial,Non-Residential,9.4635
1991,3,AMADOR,Mining,Non-Residential,0.0015
1991,3,AMADOR,Residential,Residential,1.7554
1991,3,AMADOR,TCU,Non-Residential,0.0046
1991,4,BUTTE,Ag With Water Pump,Non-Residential,0.8045
1991,4,BUTTE,Commercial,Non-Residential,10.0971
1991,4,BUTTE,Industrial,Non-Residential,6.7373
1991,4,BUTTE,Mining,Non-Residential,0.0727
1991,4,BUTTE,Residential,Residential,29.0481
1991,4,BUTTE,TCU,Non-Residential,0.1224
1991,5,CALAVERAS,Commercial,Non-Residential,0.3059
1991,5,CALAVERAS,Industrial,Non-Residential,0.0247
1991,5,CALAVERAS,Mining,Non-Residential,0.0004
1991,5,CALAVERAS,Residential,Residential,0.4522
1991,5,CALAVERAS,TCU,Non-Residential,0.0085
1991,6,COLUSA,Ag With Water Pump,Non-Residential,0.027
1991,6,COLUSA,Commercial,Non-Residential,1.6736
1991,6,COLUSA,Industrial,Non-Residential,8.2988
1991,6,COLUSA,Mining,Non-Residential,1.3887
1991,6,COLUSA,Residential,Residential,2.2676
1991,6,COLUSA,TCU,Non-Residential,0.0122
1991,7,CONTRA COSTA,Ag With Water Pump,Non-Residential,2.0972
